date,home,away,g1_home,g1_away,g2_home,g2_away,g1_total,g2_total
2019-04-23,BOS,DET,4.0,7.0,2.0,4.0,11.0,6.0
2019-05-01,CWS,BAL,4.0,5.0,7.0,6.0,9.0,13.0
2019-05-01,KC,TB,3.0,2.0,8.0,2.0,5.0,10.0
2019-05-11,MIN,DET,3.0,5.0,8.0,3.0,8.0,11.0
2019-05-15,NYY,BAL,5.0,3.0,3.0,1.0,8.0,4.0
2019-05-22,STL,KC,2.0,8.0,10.0,3.0,10.0,13.0
2019-05-25,KC,NYY,3.0,7.0,5.0,6.0,10.0,11.0
2019-05-27,CIN,PIT,5.0,8.0,8.0,1.0,13.0,9.0
2019-05-28,CWS,KC,2.0,1.0,4.0,3.0,3.0,7.0
2019-06-08,BOS,TB,2.0,9.0,5.0,1.0,11.0,6.0
2019-06-08,TEX,ATH,10.0,5.0,3.0,1.0,15.0,4.0
2019-06-11,NYY,NYM,12.0,5.0,4.0,10.0,17.0,14.0
2019-06-14,NYM,STL,4.0,5.0,5.0,9.0,9.0,14.0
2019-06-19,WSH,PHI,6.0,2.0,2.0,0.0,8.0,2.0
2019-07-03,CWS,DET,7.0,5.0,9.0,6.0,12.0,15.0
2019-07-13,BAL,TB,2.0,1.0,4.0,12.0,3.0,16.0
2019-07-15,COL,SF,2.0,19.0,1.0,2.0,21.0,3.0
2019-07-18,NYY,TB,6.0,2.0,5.0,1.0,8.0,6.0
2019-07-24,WSH,COL,3.0,2.0,2.0,0.0,5.0,2.0
2019-08-03,NYY,BOS,9.0,2.0,6.0,4.0,11.0,10.0
2019-08-05,NYM,MIA,6.0,2.0,5.0,4.0,8.0,9.0
2019-08-06,DET,CWS,3.0,5.0,10.0,6.0,8.0,16.0
2019-08-07,CLE,TEX,2.0,0.0,5.0,1.0,2.0,6.0
2019-08-12,NYY,BAL,8.0,5.0,11.0,8.0,13.0,19.0
2019-08-13,CWS,HOU,2.0,6.0,4.0,1.0,8.0,5.0
2019-08-20,TEX,LAA,1.0,5.0,3.0,2.0,6.0,5.0
2019-08-31,STL,CIN,10.0,6.0,3.0,2.0,16.0,5.0
2019-09-01,STL,CIN,4.0,3.0,3.0,5.0,7.0,8.0
2019-09-03,TB,BAL,2.0,4.0,2.0,0.0,6.0,2.0
2019-09-12,DET,NYY,4.0,10.0,4.0,6.0,14.0,10.0
2019-09-14,CLE,MIN,0.0,2.0,5.0,9.0,2.0,14.0
