game_id,season,day_index,home_team,away_team,y,mu,sigma,gameday,home_score,away_score,p_home,su_pick,su_win,su_correct,rl_pick,rl_correct
718644,2023,10,LAA,TOR,-1.0,0.1272009623593616,4.386982782863762,2023-04-09,11.0,12.0,0.512850407549365,LAA,TOR,False,LAA,False
718645,2023,10,COL,WSH,1.0,0.8375250643149167,4.386982782863762,2023-04-09,7.0,6.0,0.5839947689965495,COL,COL,True,COL,False
718646,2023,10,CLE,SEA,1.0,-0.3033539422266045,4.386982782863762,2023-04-09,7.0,6.0,0.46937866259486083,SEA,CLE,False,SEA,False
718647,2023,10,NYM,MIA,-5.0,1.0240832069485803,4.386982782863762,2023-04-09,2.0,7.0,0.6023267399824112,NYM,MIA,False,NYM,False
718648,2023,10,ATL,SD,-8.0,0.793430926304491,4.386982782863762,2023-04-09,2.0,10.0,0.5796334575240869,ATL,SD,False,ATL,False
718649,2023,10,MIN,HOU,-4.0,-0.39260180213603635,4.386982782863762,2023-04-09,1.0,5.0,0.46039603174745575,HOU,HOU,True,HOU,True
718650,2023,10,MIL,STL,5.0,0.31328043629390406,4.386982782863762,2023-04-09,6.0,1.0,0.5316212758430606,MIL,MIL,True,MIL,True
718651,2023,10,BAL,NYY,-2.0,-1.0314453421126484,4.386982782863762,2023-04-09,3.0,5.0,0.39695415624516145,NYY,NYY,True,NYY,True
718652,2023,10,PHI,CIN,-2.0,0.2802765795541522,4.386982782863762,2023-04-09,4.0,6.0,0.5282959195696444,PHI,CIN,False,PHI,False
718653,2023,10,PIT,CWS,1.0,-0.1089818211031747,4.386982782863762,2023-04-09,1.0,0.0,0.4889896647551788,CWS,PIT,False,CWS,False
718654,2023,10,DET,BOS,-3.0,-0.592373333117488,4.386982782863762,2023-04-09,1.0,4.0,0.44036925347220607,BOS,BOS,True,BOS,True
718655,2023,10,TB,ATH,11.0,1.7479441709754675,4.386982782863762,2023-04-09,11.0,0.0,0.671012166829062,TB,TB,True,TB,True
718627,2023,11,AZ,MIL,3.0,-0.2962294258591494,4.386982782863762,2023-04-10,3.0,0.0,0.4700964652100675,MIL,AZ,False,MIL,False
