ticker,event_ticker,result,volume_fp,liquidity_dollars,close_time,previous_yes_ask_dollars
KXMLBGAME-26SEP061435TBTEX-TEX,KXMLBGAME-26SEP061435TBTEX,yes,1355426.04,0.0000,2026-09-06T21:49:40Z,1.0000
KXMLBGAME-26SEP061435TBTEX-TB,KXMLBGAME-26SEP061435TBTEX,no,1807026.83,0.0000,2026-09-06T21:49:40Z,1.0000
KXMLBGAME-26SEP061410TORKC-TOR,KXMLBGAME-26SEP061410TORKC,no,570044.76,0.0000,2026-09-06T20:59:46Z,1.0000
KXMLBGAME-26SEP061410TORKC-KC,KXMLBGAME-26SEP061410TORKC,yes,349462.05,0.0000,2026-09-06T20:59:46Z,1.0000
KXMLBGAME-26SEP061410AZHOU-HOU,KXMLBGAME-26SEP061410AZHOU,no,1218988.00,0.0000,2026-09-06T21:14:30Z,1.0000
KXMLBGAME-26SEP061410AZHOU-AZ,KXMLBGAME-26SEP061410AZHOU,yes,972331.58,0.0000,2026-09-06T21:14:30Z,1.0000
KXMLBGAME-26SEP061340DETCLE-DET,KXMLBGAME-26SEP061340DETCLE,no,872109.92,0.0000,2026-09-06T20:34:36Z,1.0000
KXMLBGAME-26SEP061340DETCLE-CLE,KXMLBGAME-26SEP061340DETCLE,yes,850040.45,0.0000,2026-09-06T20:34:36Z,1.0000
KXMLBGAME-26SEP061340CHCMIA-MIA,KXMLBGAME-26SEP061340CHCMIA,yes,557123.99,0.0000,2026-09-06T20:34:36Z,1.0000
KXMLBGAME-26SEP061340CHCMIA-CHC,KXMLBGAME-26SEP061340CHCMIA,no,1452922.92,0.0000,2026-09-06T20:34:36Z,1.0000
KXMLBGAME-26SEP061335BOSBAL-BOS,KXMLBGAME-26SEP061335BOSBAL,yes,1230323.75,0.0000,2026-09-06T20:24:35Z,1.0000
KXMLBGAME-26SEP061335BOSBAL-BAL,KXMLBGAME-26SEP061335BOSBAL,no,1027331.02,0.0000,2026-09-06T20:24:35Z,1.0000
KXMLBGAME-26SEP061340SFNYM-SF,KXMLBGAME-26SEP061340SFNYM,no,446908.99,0.0000,2026-09-06T20:14:37Z,1.0000
KXMLBGAME-26SEP061340SFNYM-NYM,KXMLBGAME-26SEP061340SFNYM,yes,559385.11,0.0000,2026-09-06T20:14:37Z,1.0000
KXMLBGAME-26SEP061335LAAPIT-PIT,KXMLBGAME-26SEP061335LAAPIT,yes,360497.55,0.0000,2026-09-06T19:59:48Z,1.0000
KXMLBGAME-26SEP061335LAAPIT-LAA,KXMLBGAME-26SEP061335LAAPIT,no,556740.48,0.0000,2026-09-06T19:59:48Z,1.0000
KXMLBGAME-26SEP061310ATLPHI-PHI,KXMLBGAME-26SEP061310ATLPHI,no,1516867.90,0.0000,2026-09-06T19:59:47Z,1.0000
KXMLBGAME-26SEP061310ATLPHI-ATL,KXMLBGAME-26SEP061310ATLPHI,yes,2335091.63,0.0000,2026-09-06T19:59:47Z,1.0000
KXMLBGAME-26SEP061210MILCIN-MIL,KXMLBGAME-26SEP061210MILCIN,no,4707440.66,0.0000,2026-09-06T19:29:54Z,1.0000
KXMLBGAME-26SEP061210MILCIN-CIN,KXMLBGAME-26SEP061210MILCIN,yes,1792138.98,0.0000,2026-09-06T19:29:54Z,1.0000
KXMLBGAME-26SEP052140ATHSEA-SEA,KXMLBGAME-26SEP052140ATHSEA,no,1104717.95,0.0000,2026-09-06T04:09:41Z,1.0000
KXMLBGAME-26SEP052140ATHSEA-ATH,KXMLBGAME-26SEP052140ATHSEA,yes,1017488.50,0.0000,2026-09-06T04:09:41Z,1.0000
